Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:142,Data class,Data type,Answers
52b3f334-0978-4671-ad19-88bf9b8ec065,,Enrollement(Clinic),Clinic,Enrollement(Clinic),,,,Misc,N/A,
19a1709b-46da-46d5-ad12-f5e0841f7c19,,Enrollement(Ward),Ward,Enrollement(Ward),,,,Misc,N/A,
0ee6f07d-2fad-472f-a2f8-84c0257f5b70,,Entry Point(clinic/Ward),Entry Point(clinic/Ward),Entry Point(clinic/Ward),,,,Question,Coded,Enrollement(Clinic); Enrollement(Ward)
e00e75f0-2d9e-493b-b2da-167d41fe5b95,,Date of ARV Prophylaxis Start,Date of ARV Prophylaxis Start,Date of ARV Prophylaxis Start,,,,Question,Date,
d7eac53b-8f23-4797-95f9-69177741dd90,,Mothers Received ART for PMTCT?,Mothers Received ART for PMTCT?,Mothers Received ART for PMTCT?,,,,Question,Boolean,
f5026b7b-c8fe-42d4-adca-c365a13e95a3,,<= 4 weeks,<= 4 weeks,<= 4 weeks,,,,Misc,N/A,
f9fa4e76-c9f6-44b5-ba63-bd23fe1f12ff,,> 4 weeks,> 4 weeks,> 4 weeks,,,,Misc,N/A,
946febb7-94d0-4fe5-9555-fc483a1e0d7c,,N/A,N/A,N/A,,,,Misc,N/A,
84bef6d4-5701-4343-b3e3-96bd06e2de80,,Duration on ART?,Duration on ART?,Duration on ART?,,,,Question,Coded,<= 4 weeks;> 4 weeks;N/A
67caf7f2-472a-4c21-909a-4368290aa1a2,,1=TDF/3TC/EFV,1=TDF/3TC/EFV,1=TDF/3TC/EFV,,,,Misc,N/A,
a6430322-829e-4e58-9944-3bde0697826a,,2=AZT/3TC/NVP,2=AZT/3TC/NVP,2=AZT/3TC/NVP,,,,Misc,N/A,
8dfc8d14-babe-4d73-8528-9d9d74603685,,3=AZT/3TC/3TC+EFV,3=AZT/3TC/3TC+EFV,3=AZT/3TC/3TC+EFV,,,,Misc,N/A,
8bb9e340-a3d3-4e18-ae06-d54800fba8f2,,4=TDF/3TC+NVP,4=TDF/3TC+NVP,4=TDF/3TC+NVP,,,,Misc,N/A,
eb4ffa32-7c66-4ff0-8796-134cf5045391,,5=TDF/3TC/DTG,5=TDF/3TC/DTG,5=TDF/3TC/DTG,,,,Misc,N/A,
d75c973c-06d4-43d2-a57d-6340fc8c0100,,Other ART Regimen,Other(specify),Other ART Regimen,,,,Misc,N/A,
22d0740d-c9bd-4adf-b824-5aece5a42f38,,Mother's ART Regimen,Mother's ART Regimen,Mother's ART Regimen,,,,Question,Coded,1=TDF/3TC/EFV ; 2=AZT/3TC/NVP ;3=AZT/3TC/3TC+EFV; 4=TDF/3TC+NVP;5=TDF/3TC/DTG;Other ART Regimen
5e5638d0-5df1-4843-ba73-8637d65cc34e,,<1000 copies/ml,<1000 copies/ml,<1000 copies/ml,,,,Misc,N/A,
64a2380b-b16f-4c3d-883f-04f9172a2e8b,,>1000 copies/ml,>1000 copies/ml,>1000 copies/ml,,,,Misc,N/A,
40e22877-fff1-4e2e-b441-218021481636,,Not done,Not done,Not done,,,,Misc,N/A,
d14236e5-2c6a-4dfe-b124-044708910d44,,Mothers Viral load At Delivery?,Mothers Viral load At Delivery?,Mothers Viral load At Delivery?,,,,Question,Coded,<1000 copies/ml ;>1000 copies/ml ;Not done
34bf7ed1-4e7e-4b7d-af9c-712973450bf5,,Daily NVP,Daily NVP,Daily NVP,,,,Misc,N/A,
c323d219-1a44-4637-9904-ed5d5ffeb560,,AZT+NV,AZT+NV,AZT+NV,,,,Misc,N/A,
aea8d9a7-6756-42e2-bb25-4a84ec97261b,,Daily NVP Date,Daily NVP Date,Daily NVP Date,,,,Question,Date,
0422d580-9c99-4e84-9e8d-4d56b2671a27,,AZT+NV Date,AZT+NV Date,AZT+NV Date,,,,Question,Date,
bf28a3b2-8fab-4367-aac1-ed3d15f73557,,Infant's PMTCT ARVS,Infant's PMTCT ARVS,Infant's PMTCT ARVS,,,,Question,Coded,Daily NVP;AZT+NV
a6216423-69ca-4f07-aedf-cc6f3807d07c,,Mother's History,Mother's History,Mother's History,,,,Misc,N/A,
e8b8d88b-ad45-4f4b-b809-e61fbd9d4e00,,HEI Enrollment Information,HEI Enrollment Information,HEI Enrollment Information,,,,Misc,N/A,
54a93292-ffe6-43bd-898d-b8946bff488e,,HEI Enrollment Form,HEI Enrollment Form,HEI Enrollment Form,,,,Misc,N/A,
